关卡ID,关卡类型,关卡地图数据,所在章节,前置关卡,关卡开放等级,关卡名称,关卡描述,所需人数,关卡掉落,消耗体力,地图资源,胜利方式,每日次数,怪物等级
1,1,level1,1,0,0,第1关,第1关,1,1|0|500|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter1_jpg,1|0,9999,1
2,1,level2,1,1,0,第2关,第2关,1,1|0|500|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter1_jpg,1|0,9999,2
3,1,level3,1,2,0,第3关,第3关,1,1|0|500|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter1_jpg,1|0,9999,3
4,1,level4,1,3,0,第4关,第4关,1,1|0|500|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter1_jpg,1|0,9999,4
5,1,level5,1,4,0,第5关,第5关,1,1|0|500|100#3|0|5|10#5|1001|1|25,5,chapter1_jpg,1|0,9999,5
6,1,level6,2,5,0,第1关,第1关,1,1|0|550|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter2_jpg,1|0,9999,6
7,1,level7,2,6,0,第2关,第2关,1,1|0|550|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter2_jpg,1|0,9999,7
8,1,level8,2,7,0,第3关,第3关,1,1|0|550|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter2_jpg,1|0,9999,8
9,1,level9,2,8,0,第4关,第4关,1,1|0|550|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter2_jpg,1|0,9999,9
10,1,level10,2,9,0,第5关,第5关,1,1|0|550|100#3|0|5|10#5|1001|1|25,5,chapter2_jpg,1|0,9999,10
11,1,level11,3,10,0,第1关,第1关,1,1|0|600|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter3_jpg,1|0,9999,11
12,1,level12,3,11,0,第2关,第2关,1,1|0|600|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter3_jpg,1|0,9999,12
13,1,level13,3,12,0,第3关,第3关,1,1|0|600|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter3_jpg,1|0,9999,13
14,1,level14,3,13,0,第4关,第4关,1,1|0|600|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter3_jpg,1|0,9999,14
15,1,level15,3,14,0,第5关,第5关,1,1|0|600|100#3|0|5|10#5|1001|1|25,5,chapter3_jpg,1|0,9999,15
16,1,level16,4,15,0,第1关,第1关,1,1|0|650|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter4_jpg,1|0,9999,16
17,1,level17,4,16,0,第2关,第2关,1,1|0|650|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter4_jpg,1|0,9999,17
18,1,level18,4,17,0,第3关,第3关,1,1|0|650|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter4_jpg,1|0,9999,18
19,1,level19,4,18,0,第4关,第4关,1,1|0|650|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter4_jpg,1|0,9999,19
20,1,level20,4,19,0,第5关,第5关,1,1|0|650|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter4_jpg,1|0,9999,20
21,1,level21,5,20,0,第1关,第1关,1,1|0|700|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter5_jpg,1|0,9999,21
22,1,level22,5,21,0,第2关,第2关,1,1|0|700|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter5_jpg,1|0,9999,22
23,1,level23,5,22,0,第3关,第3关,1,1|0|700|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter5_jpg,1|0,9999,23
24,1,level24,5,23,0,第4关,第4关,1,1|0|700|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter5_jpg,1|0,9999,24
25,1,level25,5,24,0,第5关,第5关,1,1|0|700|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter5_jpg,1|0,9999,25
26,1,level26,6,25,0,第1关,第1关,1,1|0|750|100#3|0|5|10#5|2001|1|25#5|2002|1|25,5,chapter6_jpg,1|0,9999,26
27,1,level27,6,26,0,第2关,第2关,1,1|0|750|100#3|0|5|10#5|2101|1|25#5|2102|1|25,5,chapter6_jpg,1|0,9999,27
28,1,level28,6,27,0,第3关,第3关,1,1|0|750|100#3|0|5|10#5|2201|1|25#5|2202|1|25,5,chapter6_jpg,1|0,9999,28
29,1,level29,6,28,0,第4关,第4关,1,1|0|750|100#3|0|5|10#5|2301|1|25#5|2302|1|25,5,chapter6_jpg,1|0,9999,29
30,1,level30,6,29,0,第5关,第5关,1,1|0|750|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter6_jpg,1|0,9999,30
31,1,level31,7,30,0,第1关,第1关,1,1|0|800|100#3|0|5|10#5|2001|1|10#5|2002|1|10#5|2003|1|25#5|2004|1|25,5,chapter7_jpg,1|0,9999,31
32,1,level32,7,31,0,第2关,第2关,1,1|0|800|100#3|0|5|10#5|2101|1|10#5|2102|1|10#5|2103|1|25#5|2104|1|25,5,chapter7_jpg,1|0,9999,32
33,1,level33,7,32,0,第3关,第3关,1,1|0|800|100#3|0|5|10#5|2201|1|10#5|2202|1|10#5|2203|1|25#5|2204|1|25,5,chapter7_jpg,1|0,9999,33
34,1,level34,7,33,0,第4关,第4关,1,1|0|800|100#3|0|5|10#5|2301|1|10#5|2302|1|10#5|2303|1|25#5|2303|1|25,5,chapter7_jpg,1|0,9999,34
35,1,level35,7,34,0,第5关,第5关,1,1|0|800|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter7_jpg,1|0,9999,35
36,1,level36,8,35,0,第1关,第1关,1,1|0|850|100#3|0|5|10#5|2001|1|10#5|2002|1|10#5|2003|1|25#5|2004|1|25,5,chapter8_jpg,1|0,9999,36
37,1,level37,8,36,0,第2关,第2关,1,1|0|850|100#3|0|5|10#5|2101|1|10#5|2102|1|10#5|2103|1|25#5|2104|1|25,5,chapter8_jpg,1|0,9999,37
38,1,level38,8,37,0,第3关,第3关,1,1|0|850|100#3|0|5|10#5|2201|1|10#5|2202|1|10#5|2203|1|25#5|2204|1|25,5,chapter8_jpg,1|0,9999,38
39,1,level39,8,38,0,第4关,第4关,1,1|0|850|100#3|0|5|10#5|2301|1|10#5|2302|1|10#5|2303|1|25#5|2303|1|25,5,chapter8_jpg,1|0,9999,39
40,1,level40,8,39,0,第5关,第5关,1,1|0|850|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter8_jpg,1|0,9999,40
41,1,level41,9,40,0,第1关,第1关,1,1|0|850|100#3|0|5|10#5|2001|1|10#5|2002|1|10#5|2003|1|25#5|2004|1|25,5,chapter9_jpg,1|0,9999,41
42,1,level42,9,41,0,第2关,第2关,1,1|0|850|100#3|0|5|10#5|2101|1|10#5|2102|1|10#5|2103|1|25#5|2104|1|25,5,chapter9_jpg,1|0,9999,42
43,1,level43,9,42,0,第3关,第3关,1,1|0|850|100#3|0|5|10#5|2201|1|10#5|2202|1|10#5|2203|1|25#5|2204|1|25,5,chapter9_jpg,1|0,9999,43
44,1,level44,9,43,0,第4关,第4关,1,1|0|850|100#3|0|5|10#5|2301|1|10#5|2302|1|10#5|2303|1|25#5|2303|1|25,5,chapter9_jpg,1|0,9999,44
45,1,level45,9,44,0,第5关,第5关,1,1|0|850|100#3|0|5|10#5|1001|1|25#5|1002|1|25,5,chapter9_jpg,1|0,9999,45
46,1,level46,10,45,0,第1关,第1关,1,1|0|850|100#3|0|5|10#5|2001|1|10#5|2002|1|10#5|2003|1|25#5|2004|1|25,5,chapter10_jpg,1|0,9999,46
47,1,level47,10,46,0,第2关,第2关,1,1|0|850|100#3|0|5|10#5|2101|1|10#5|2102|1|10#5|2103|1|25#5|2104|1|25,5,chapter10_jpg,1|0,9999,47
48,1,level48,10,47,0,第3关,第3关,1,1|0|850|100#3|0|5|10#5|2201|1|10#5|2202|1|10#5|2203|1|25#5|2204|1|25,5,chapter10_jpg,1|0,9999,48
49,1,level49,10,48,0,第4关,第4关,1,1|0|850|100#3|0|5|10#5|2301|1|10#5|2302|1|10#5|2303|1|25#5|2303|1|25,5,chapter10_jpg,1|0,9999,49
50,1,level50,10,49,0,第5关,第5关,1,1|0|850|100#3|0|5|10#5|1002|1|25#5|1003|1|25,5,chapter10_jpg,1|0,9999,50
51,1,level51,11,50,0,第1关,第1关,1,1|0|850|100#3|0|5|10#5|2003|1|10#5|2004|1|10#5|2005|1|25#5|2006|1|25,5,chapter11_jpg,1|0,9999,51
52,1,level52,11,51,0,第2关,第2关,1,1|0|850|100#3|0|5|10#5|2103|1|10#5|2104|1|10#5|2105|1|25#5|2106|1|25,5,chapter11_jpg,1|0,9999,52
53,1,level53,11,52,0,第3关,第3关,1,1|0|850|100#3|0|5|10#5|2203|1|10#5|2204|1|10#5|2205|1|25#5|2206|1|25,5,chapter11_jpg,1|0,9999,53
54,1,level54,11,53,0,第4关,第4关,1,1|0|850|100#3|0|5|10#5|2303|1|10#5|2304|1|10#5|2305|1|25#5|2306|1|25,5,chapter11_jpg,1|0,9999,54
55,1,level55,11,54,0,第5关,第5关,1,1|0|850|100#3|0|5|10#5|1002|1|25#5|1003|1|25,5,chapter11_jpg,1|0,9999,55
56,1,level56,12,55,0,第1关,第1关,1,1|0|900|100#3|0|5|10#5|2003|1|10#5|2004|1|10#5|2005|1|25#5|2006|1|25,5,chapter12_jpg,1|0,9999,56
